"Id","Name","countryName","century","continentName","gender","domain"
9331,"Kate Hudson","UNITED STATES",1900,"NORTH AMERICA","Female","ARTS"
9332,"Katey Sagal","UNITED STATES",1900,"NORTH AMERICA","Female","ARTS"
9333,"Kathryn Bigelow","UNITED STATES",1900,"NORTH AMERICA","Female","ARTS"
9334,"Katy Perry","UNITED STATES",1900,"NORTH AMERICA","Female","ARTS"
9335,"Kerry King","UNITED STATES",1900,"NORTH AMERICA","Male","ARTS"
9336,"Kesha","UNITED STATES",1900,"NORTH AMERICA","Female","ARTS"
9337,"Kevin Costner","UNITED STATES",1900,"NORTH AMERICA","Male","ARTS"
9338,"Kevin Federline","UNITED STATES",1900,"NORTH AMERICA","Male","PUBLIC FIGURE"
9339,"Kevin Love","UNITED STATES",1900,"NORTH AMERICA","Male","SPORTS"
9340,"Kevin Mitnick","UNITED STATES",1900,"NORTH AMERICA","Male","SCIENCE"
9341,"Kim Kardashian","UNITED STATES",1900,"NORTH AMERICA","Female","PUBLIC FIGURE"
9342,"Kirk Hammett","UNITED STATES",1900,"NORTH AMERICA","Male","ARTS"
9343,"Krist Novoselic","UNITED STATES",1900,"NORTH AMERICA","Male","ARTS"
9344,"Kristen Stewart","UNITED STATES",1900,"NORTH AMERICA","Female","ARTS"
9345,"Landon Donovan","UNITED STATES",1900,"NORTH AMERICA","Male","SPORTS"
9346,"Larry Wall","UNITED STATES",1900,"NORTH AMERICA","Male","SCIENCE"
9347,"Laura Dern","UNITED STATES",1900,"NORTH AMERICA","Female","ARTS"
9348,"Laurie Holden","UNITED STATES",1900,"NORTH AMERICA","Female","ARTS"
9349,"Leland H. Hartwell","UNITED STATES",1900,"NORTH AMERICA","Male","SCIENCE"
9350,"Leo Fender","UNITED STATES",1900,"NORTH AMERICA","Male","SCIENCE"
9351,"Leon Panetta","UNITED STATES",1900,"NORTH AMERICA","Male","INSTITUTIONS"
9352,"Leonardo DiCaprio","UNITED STATES",1900,"NORTH AMERICA","Male","ARTS"
9353,"Liev Schreiber","UNITED STATES",1900,"NORTH AMERICA","Male","ARTS"
9354,"Lisa Kudrow","UNITED STATES",1900,"NORTH AMERICA","Female","ARTS"
9355,"Liza Minnelli","UNITED STATES",1900,"NORTH AMERICA","Female","ARTS"
9356,"Logan Lerman","UNITED STATES",1900,"NORTH AMERICA","Male","ARTS"
9357,"Luis Alvarez","UNITED STATES",1900,"NORTH AMERICA","Male","SCIENCE"
9358,"M. Shadows","UNITED STATES",1900,"NORTH AMERICA","Male","ARTS"
9359,"Madeleine Stowe","UNITED STATES",1900,"NORTH AMERICA","Female","ARTS"
9360,"Marion Jones","UNITED STATES",1900,"NORTH AMERICA","Female","SPORTS"
9361,"Mark Hamill","UNITED STATES",1900,"NORTH AMERICA","Male","ARTS"
9362,"Mark Harmon","UNITED STATES",1900,"NORTH AMERICA","Male","ARTS"
9363,"Mark Hoppus","UNITED STATES",1900,"NORTH AMERICA","Male","ARTS"
